model,system,devanagari_mode,grade,n_utts,ref_words,WER,wer_ci_lo,wer_ci_hi,SUB,DEL,INS,CER,pretrained_WER,delta_WER,p_not_better
medium,pretrained,drop,3,499,30324,14.9782,,,,,,,14.9782,,
medium,pretrained,drop,4,504,34193,12.8915,,,,,,,12.8915,,
medium,pretrained,drop,5,597,43891,10.5284,,,,,,,10.5284,,
medium,pretrained,drop,ALL,1600,108408,12.5184,,,,,,,12.5184,,
medium,stageW,drop,3,499,30324,8.5543,8.1055,9.0365,3.611,1.0289,3.9144,7.8755,14.9782,-6.424,0.0
medium,stageW,drop,4,504,34193,11.1748,10.7073,11.6287,5.1092,2.9275,3.1381,8.6808,12.8915,-1.7167,0.0
medium,stageW,drop,5,597,43891,9.5578,9.1684,9.9553,6.1151,0.925,2.5176,6.2755,10.5284,-0.9706,0.0
medium,stageW,drop,ALL,1600,108408,9.7871,9.5271,10.0612,5.0974,1.5857,3.104,7.4516,12.5184,-2.7313,0.0
medium,stageA,drop,3,499,30324,15.1629,14.4885,15.8754,7.8552,1.2432,6.0645,12.2904,14.9782,0.1847,0.792
medium,stageA,drop,4,504,34193,15.1522,14.5033,15.8433,9.1422,1.6085,4.4015,10.7382,12.8915,2.2607,1.0
medium,stageA,drop,5,597,43891,12.727,12.2416,13.225,8.0358,1.2941,3.3971,8.8009,10.5284,2.1986,1.0
medium,stageA,drop,ALL,1600,108408,14.1733,13.8363,14.5253,8.3343,1.379,4.46,10.3118,12.5184,1.6549,1.0
medium,stageB,drop,3,499,30324,9.105,8.6738,9.6124,4.1815,0.93,3.9935,8.0561,14.9782,-5.8732,0.0
medium,stageB,drop,4,504,34193,11.3064,10.84,11.7964,4.9279,3.3896,2.9889,9.217,12.8915,-1.5851,0.0
medium,stageB,drop,5,597,43891,9.961,9.5686,10.3622,6.4569,0.9091,2.5951,6.4602,10.5284,-0.5673,0.001
medium,stageB,drop,ALL,1600,108408,10.1459,9.8899,10.394,5.3382,1.6973,3.1105,7.7472,12.5184,-2.3725,0.0
medium,stageC,drop,3,499,30324,10.6945,10.2248,11.2183,5.2401,0.9629,4.4915,9.098,14.9782,-4.2837,0.0
medium,stageC,drop,4,504,34193,13.0904,12.5773,13.5836,6.244,3.3486,3.4978,9.6839,12.8915,0.1989,0.779
medium,stageC,drop,5,597,43891,10.6195,10.1828,11.0443,6.4683,1.5037,2.6475,7.4971,10.5284,0.0911,0.692
medium,stageC,drop,ALL,1600,108408,11.4198,11.1376,11.7099,6.054,1.9344,3.4315,8.6038,12.5184,-1.0986,0.0
medium,pretrained,keep,3,499,32199,15.6371,,,,,,,15.6371,,
medium,pretrained,keep,4,504,35908,13.866,,,,,,,13.866,,
medium,pretrained,keep,5,597,45433,11.1395,,,,,,,11.1395,,
medium,pretrained,keep,ALL,1600,113540,13.2773,,,,,,,13.2773,,
medium,stageW,keep,3,499,32199,9.9102,9.4078,10.4972,8.3667,0.851,0.6926,7.6363,15.6371,-5.7269,0.0
medium,stageW,keep,4,504,35908,13.025,12.5115,13.568,10.4406,1.2894,1.295,8.9886,13.866,-0.841,0.0
medium,stageW,keep,5,597,45433,10.6729,10.2474,11.1246,8.7954,1.0807,0.7968,6.6367,11.1395,-0.4666,0.002
medium,stageW,keep,ALL,1600,113540,11.2005,10.9056,11.5006,9.1941,1.0816,0.9248,7.6483,13.2773,-2.0768,0.0
medium,stageA,keep,3,499,32199,15.5284,14.8103,16.2502,11.873,2.469,1.1864,11.4742,15.6371,-0.1087,0.32
medium,stageA,keep,4,504,35908,15.8405,15.1596,16.5572,12.0307,2.9631,0.8466,10.7839,13.866,1.9745,1.0
